pathway	description	X18S_1_10_S10_L001	X18S_1_11_S11_L001	X18S_1_12_S12_L001	X18S_1_13_S13_L001	X18S_1_14_S14_L001	X18S_1_15_S15_L001	X18S_1_16_S16_L001	X18S_1_17_S17_L001	X18S_1_18_S18_L001	X18S_1_19_S19_L001	X18S_1_1_S1_L001	X18S_1_20_S20_L001	X18S_1_21_S21_L001	X18S_1_22_S22_L001	X18S_1_23_S23_L001	X18S_1_24_S24_L001	X18S_1_25_S25_L001	X18S_1_26_S26_L001	X18S_1_27_S27_L001	X18S_1_28_S28_L001	X18S_1_29_S29_L001	X18S_1_2_S2_L001	X18S_1_30_S30_L001	X18S_1_31_S31_L001	X18S_1_32_S32_L001	X18S_1_33_S33_L001	X18S_1_34_S34_L001	X18S_1_35_S35_L001	X18S_1_36_S36_L001	X18S_1_37_S37_L001	X18S_1_38_S38_L001	X18S_1_39_S39_L001	X18S_1_3_S3_L001	X18S_1_40_S40_L001	X18S_1_41_S41_L001	X18S_1_42_S42_L001	X18S_1_43_S43_L001	X18S_1_44_S44_L001	X18S_1_45_S45_L001	X18S_1_46_S46_L001	X18S_1_47_S47_L001	X18S_1_48_S48_L001	X18S_1_49_S49_L001	X18S_1_4_S4_L001	X18S_1_50_S50_L001	X18S_1_51_S51_L001	X18S_1_52_S52_L001	X18S_1_53_S53_L001	X18S_1_54_S54_L001	X18S_1_55_S55_L001	X18S_1_56_S56_L001	X18S_1_57_S57_L001	X18S_1_58_S58_L001	X18S_1_59_S59_L001	X18S_1_5_S5_L001	X18S_1_6_S6_L001	X18S_1_7_S7_L001	X18S_1_8_S8_L001	X18S_1_9_S9_L001
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	17263.3517	55106.5455	15689.9504	66819.4545	59036.7273	15890.6321	28198.5455	30042.7273	20945.2727	25653.0909	12873.6605	67639.2916	111130.7273	35790.3636	31563.6364	36931.7686	16285.2516	35227.8182	26867.2727	78058.9091	40537.7491	8286.7273	40410.594	82397.6364	17670.5455	34228.7116	14026.4959	23330.0456	23381.2727	68956.3636	43818.7273	90378.9091	33522.3636	14451.2138	16274.3636	25187.2895	5696.7273	177629.4545	28522.8595	145951.2727	17764.7273	168407.2727	13315.2727	54801.0909	39140.1818	17419.0643	10081.2727	9648.5455	17455.2231	41465.4545	76941.8029	10173.2412	12384.3406	5552.1738	13004.0108	21062.8258	41506.9917	43547.405	17994.3966
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	0	0	0	0	0	0	0	0	0	0	0	6.2997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	0	0	0	0	0	0	0	0	0	0	0	11.6984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY	homolactic fermentation	6076.1014	0	6.4974	0	0	5865.6061	0	0	0	0	4523.3836	2110.8341	0	0	0	6.4989	3289.1609	0	0	0	174.7716	0	2683.3328	0	0	2774.7493	6.4971	9450.2393	0	0	0	0	0	2858.1836	0	4872.7218	0	0	6.4986	0	0	0	0	0	0	1241.1378	0	0	6.4977	0	5715.501	2149.4337	3155.5451	3147.72	3912.7736	58.344	12.9961	6.4991	19.4797
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	15794.4864	49746.6383	14164.0158	60320.2979	53294.5532	14554.2336	25455.8298	27120.6383	18908.0426	23157.9574	11777.8666	61107.5684	100321.6596	32309.234	28493.617	33339.7605	14791.591	31801.4043	24254.0426	70466.5532	36598.6397	7480.7234	36542.1707	74383.2766	15951.8298	30964.7928	12662.3563	21421.1036	21107.1064	62249.3617	39556.7234	81588.2553	30261.8298	13123.6559	14691.4468	22869.7101	5142.6383	160352.4255	25748.7392	131755.4043	16036.8511	152027.234	12020.1702	49470.8936	35333.234	15753.6905	9100.7234	8710.0851	15757.5903	37432.3404	69591.5756	9243.5327	11273.2234	5186.8906	11863.5503	19015.419	37470.1168	39311.9307	16244.6007
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	0	0	0	0	0	0	0	0	0	0	0	34.0963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGDEG-PWY	"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"	0	0	0	0	0	0	0	0	0	0	0	5.5999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	14704.7202	46184.5333	13149.8311	56001.0667	49478.4	13552.8976	23633.0667	25178.6667	17554.1333	21499.7333	10965.1551	56740.2541	93138.1333	29995.7333	26453.3333	30952.4978	13750.6306	29524.2667	22517.3333	65420.8	33978.7727	6945.0667	33938.2774	69057.0667	14809.6	28760.9083	11755.6978	19956.8503	19595.7333	57792	36724.2667	75746.1333	28094.9333	12199.663	13639.4667	21258.794	4774.4	148870.4	23905.0311	122321.0667	14888.5333	141141.3333	11159.4667	45928.5333	32803.2	14631.5562	8449.0667	8086.4	14629.2978	34752	64635.769	8593.6757	10484.672	4846.835	11038.7008	17654.0799	34787.1289	36497.0311	15081.4933
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	16176.4248	50938.8235	14503.4602	61765.8824	54571.7647	14906.4964	26065.8824	27770.5882	19361.1765	23712.9412	12062.6676	62569.9181	102725.8824	33083.5294	29176.4706	34138.7543	15147.3516	32563.5294	24835.2941	72155.2941	37475.7778	7660	37418.7051	76165.8824	16334.1176	31707.714	12965.8131	21940.6887	21612.9412	63741.1765	40504.7059	83543.5294	30987.0588	13439.2666	15043.5294	23419.6445	5265.8824	164195.2941	26365.8131	134912.9412	16421.1765	155670.5882	12308.2353	50656.4706	36180	16131.6014	9318.8235	8918.8235	16135.2249	38329.4118	71261.0677	9465.9078	11544.7707	5315.02	12149.7831	19471.1417	38368.0969	40254.0484	16633.91
ARO-PWY	chorismate biosynthesis I	14839.9631	46628.6154	13276.2663	56539.5385	49954.1538	13677.2716	23860.3077	25420.7692	17722.9231	21706.4615	11066.0122	57284.5497	94033.6923	30284.1538	26707.6923	31250.1124	13879.6986	29808.1538	22733.8462	66049.8462	34305.3428	7011.8462	34262.2316	69721.0769	14952	29034.9771	11868.7278	20139.2086	19784.1538	58347.6923	37077.3846	76474.4615	28365.0769	12314.2366	13770.6154	21458.5605	4820.3077	150301.8462	24134.8817	123497.2308	15031.6923	142498.4615	11266.7692	46370.1538	33118.6154	14771.1422	8530.3077	8164.1538	14769.9586	35086.1538	65252.1826	8674.239	10582.3858	4891.2056	11140.9287	17823.781	35121.6095	36847.9586	15226.4911
