depth	0.15-1.5	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	3.05-4.60	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	3.05-4.60	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	6	0.15-1.5	0.15-1.5	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	0.15-1.5	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	3.05-4.60	3.05-4.60	6
Acidobacteria	0.166812308	0.075914918	0.274319663	0.337722796	0.093280883	0.09557957	0.047480631	0.124917039	0.106898705	0.13852179	0.079807161	0.005847393	0.055450444	0.109499126	0.096247192	0.112216807	0.09363023	0.048792509	0.116559728	0.120342992	0.088236471	0.098893054	0.058910684	0.102904488	0.116903908	0	0.064527669	0.051978878	0.144730156	0.068348837	0.110124142	0.101963673	0.104057094	0.080516244	0.115479599	0.084872172	0.12429516	0.058081571	0.089795338	0.029767545	0.0996402	0.07831433	0.021787839	1.43152E-05	0.115027851	0.095355006	0.090487378	0.086881892	0.114821822	0.034736151	0.019590664	0.081507036	0.087137834	0.091365697	0.069352417
Actinobacteria	0.195980299	0.307312182	0.082003803	0.056143451	0.085374403	0.064187749	0.344395756	0.05220026	0.156009663	0.073195157	0.095605847	0.037640593	0.368137184	0.040083236	0.083350048	0.059016936	0.092927053	0.394400244	0.063334338	0.083720537	0.071328564	0.064435104	0.072194714	0.237102288	0.076190171	0.034700092	0.299727745	0.043391295	0.192600874	0.043227485	0.05431565	0.062203816	0.076247654	0.120511856	0.259275657	0.049751701	0.21033563	0.021487915	0.088786934	0.076135511	0.088035849	0.257265463	0.037713436	0.008989922	0.256417473	0.153213224	0.267449239	0.120741141	0.073330779	0.02335801	0.165832776	0.136305039	0.070902	0.08880425	0.084083033
Aquificae	2.64802E-05	6.51071E-06	0.001000392	0	0.001858384	0.001379034	5.46382E-06	0.007069687	0.003352396	0.000393426	0.001903826	0	0	0.002401992	0.002116094	0	0.000950239	1.17346E-05	0.0046077	0.003062431	0.003810279	0.006992566	0.000455887	0	0.003741584	0	0.00060466	0.001466823	1.60478E-05	0.000817072	0.000437447	0	0.001870423	0.001622079	0.001525035	0	8.68832E-06	0	0.002217375	0	0.00211319	0.000584538	3.21924E-06	0	0	0.000812254	0.000411579	0.002939171	0.004729859	0	0	0.000689968	8.72425E-06	0.001492321	0.00317188
Archaea	1.32401E-05	0	0.00857883	0	0.03618842	0.006577573	0	0.00292887	0.013450667	0.008887856	0.0040226	0	0	0.009186784	0.011904284	0.024717658	0.014107884	0	0.010033589	0.009947622	0.00677383	0	0.02357947	0	0.008658702	0	0.001044701	0	0	0.001701831	0.003569654	0.014050058	0.001833218	0.001496701	0	0.008037521	0	0	0.007008688	0.003248711	0.00497364	0	0.017915089	0	0	0.002927787	0.000574496	0.003926732	0.010513459	0	0	0.032228779	0.017640439	0.038187832	0.014753192
Bacteria	0.085809236	0.021153308	0.089218892	0.016573633	0.100124634	0.105316384	0.037481833	0.12477276	0.137555052	0.140471038	0.156451514	0.033966002	0.025888859	0.117847715	0.156560895	0.096069104	0.117443223	0.049121078	0.146143743	0.132128073	0.099650641	0.151021748	0.097585067	0.045831152	0.145235656	0.004248991	0.055049386	0.079608492	0.037461017	0.09565066	0.162995791	0.114888058	0.144533324	0.117189337	0.032635753	0.073340077	0.028115416	0.019882931	0.157921127	0.027490986	0.1422558	0.028724882	0.047612609	7.15758E-05	0.034980944	0.076205074	0.024831939	0.157116321	0.123072133	0.027424237	0.006658315	0.09005901	0.077305602	0.114184847	0.086577643
Bacteroidetes	0.022058045	0.024519347	0.001637434	0	0.005369284	0.003602203	0.026909333	0.003534843	0.053457569	0.001233928	0.001074741	0	0.038448038	0.005079212	0.00404164	0.005427963	0.001697761	0.015477951	0.007966583	0.000887049	0.011574182	0.001830184	0.004254942	0.045399945	0.003078345	0.001593372	0.01993162	0.00274696	0.034556357	0.050880891	0.007859184	0.004627764	0.000368673	0.002672121	0.003896219	0.003135921	0.032754981	0.005173716	0.001066903	0.005734467	0.003335978	0.051377446	0.002002369	0.009662735	0.030688948	0.009343221	0.015691453	0.008253192	0.001317176	0.003847416	0.054526962	0.003576941	0.0186699	0.006169746	0.004560283
Cand_Bacteria.NC10	0	0	0.028407348	0.002887993	0.061755116	0.074183654	1.09276E-05	0.081113836	0.029078748	0.057636939	0.057345084	0	0	0.042835518	0.069871229	0.064230893	0.03810459	0	0.065121437	0.050181634	0.024778484	0.04309137	0.128800638	0	0.07246231	0	0.009161707	0.015041604	5.34928E-06	0.013445435	0.027790637	0.021492002	0.030589708	0.076175028	0.028660822	0.031147692	0	0.000302115	0.0350323	0	0.051827752	0.000336969	0.010568776	0	0	0.02550112	0.003206887	0.046062687	0.022152505	0	0	0.057485247	0.044022578	0.061964741	0.087198474
Chlamydiae	0.000609046	0.000130214	0.00282186	0.001594862	0.002665168	0.001847069	5.46382E-06	0.002294041	0.002087031	0.000375543	0.000997973	0	0.000166942	0.0023311	0.002096037	0.002081692	0.001913148	0	0.002379209	0.004414125	0.003023555	0	0.000139299	0	0.000786739	0	0.00039572	0.002986985	0.000310258	0	0.001204042	0.000270995	0.001339399	3.91807E-05	0.000816632	0.012387346	0	0	0.002702078	0	0.000951057	0.000295707	0	0	0.000269716	0	0.000240088	0.000869995	0.004310758	0	0	0.000726282	0.000802631	0.000378649	0.000665982
Chloroflexi	0.037972672	0.082966021	0.083296762	0.117825815	0.049614413	0.043268226	0.120876179	0.061116722	0.03575889	0.021441728	0.041684579	3.1953E-05	0.141451283	0.10123811	0.050294849	0.025097032	0.052700263	0.160423854	0.051578245	0.050350596	0.038172799	0.033385083	0.061392734	0.069147134	0.047657165	0	0.086051665	0.01309473	0.036899343	0.018870023	0.042733917	0.037112442	0.045529418	0.064138731	0.029969401	0.01602906	0.078186226	0.014916918	0.050439714	0.00969691	0.063791175	0.042382439	0.007098432	2.86303E-05	0.064157139	0.030604097	0.086603101	0.039126243	0.014213526	0.007767769	0.005792401	0.058356786	0.102867662	0.054436315	0.047758802
Cyanobacteria	0.006765703	0.006373988	7.55013E-05	2.15522E-05	0	0	0.06836883	0.00167364	3.28666E-05	3.5766E-05	0	0	0.019883226	0.000150124	0.000200578	0	0.002058851	0.007263724	0.00017225	0	3.33358E-06	1.2622E-05	0	0.00752559	4.57406E-06	0	0.012761175	0	0.005199501	9.6695E-06	0	0	0.001106019	0	0.003345238	9.19625E-06	0.030721913	0.007080816	0.000111426	0.001648967	0.000157701	0.015246125	0.004226867	0	0.007516857	0.002188957	0.033037797	0.010604529	0	1.82342E-05	0	0	0.000244279	0.000189324	0
