contamination	not_contaminated	contaminated	contaminated	contaminated	contaminated	not_contaminated	contaminated	contaminated	not_contaminated	contaminated	contaminated	contaminated	not_contaminated	not_contaminated	not_contaminated	not_contaminated
Acidimicrobiaceae	0.00112541	0.00656931	0.045448088	0.023919799	0.016451923	0.010677508	0.002562306	0.00157423	0.00585593	0.001045291	0.039988273	0.007888599	8.50238E-05	0	0	0.001288189
Acidimicrobiales	0.00752039	0.006673481	0.024986067	0.012734682	0.02120444	0.011837661	0.003230966	0.001406968	0.011903004	0.005047657	0.009404867	0.004655988	0.003515294	0.004359158	0.003215008	0.007502829
Acidimicrobiia	0.001204851	0.010417141	0.002038006	0.00128845	0.004775986	0.003726861	0.005087167	0.007940022	0.005734294	0.005542795	0.000844327	0.010383798	0.030966251	0.015314713	0.011385105	0.002646009
Acidobacteria	0.001019489	0.001263078	0.003376643	8.56113E-06	0.000786219	0.001581093	0.001984583	0.002676191	0.002258964	0.002166229	0.001489299	0.003206887	0.00041046	0.003690292	0.003695602	0
Acidobacteriaceae	0.014458214	0.01533273	0.006163193	0.0049997	0.006700462	0.005236086	0.015416629	0.039719787	0.003101732	0.007977224	0.0149399	0.011995816	0.015893585	0.009364117	0.005932849	0.00562277
Acidobacteriia	0	0.003945492	0.001218433	0.000612121	0	0.0020431	0.002637196	0.000403396	0.000738508	0.000433246	0.002697156	0.003918576	0.001410222	5.76608E-05	0	0.001462268
Actinobacteria	0.049676941	0.073232504	0.093147272	0.076215467	0.104496703	0.084927259	0.040247993	0.041185789	0.089602683	0.055304166	0.054564644	0.071228907	0.124577446	0.074094149	0.053528222	0.051858299
Actinomycetales	0.000225082	5.20857E-05	0.002464185	0.000809027	0	0	0.000700756	9.83894E-06	0.001268495	0.001340999	0.001571387	0.002418027	0.001055468	0	0	0
Actinophytocola	0.001429933	0.004935121	0.002606244	0.018992869	0.005409655	0.00181723	0.005220899	0.004525911	0.000747196	0.010143452	0.004819701	0	0.008127102	0.019166455	0.015876172	0.010288102
Alphaproteobacteria	0.018655333	0.032807485	0.020647791	0.023975447	0.025511042	0.022936109	0.025767488	0.03534146	0.018184662	0.017405477	0.024192319	0.027893058	0.027260387	0.025117051	0.019870074	0.014413787
Altererythrobacter	0.001257812	0.006185178	0.001885019	0.001553845	0.002640287	0.006806912	0.002112966	0.002833614	0.002172081	0.005109549	0.001055409	0.001792084	0.006233124	0.006827041	0.018759736	0.018678736
Alteromonas	0.003111429	0.001627678	0.001721105	0.001832082	0.005925978	0.003562592	0.008179051	0.008402452	0.001372755	0.004882611	0.018153034	0.007159761	0.000891284	0.003229006	0.00044745	0.002541561
Anaerolineaceae	0.000834128	0.002356878	0.003250975	0.003629919	0.0009153	0.005923964	0.000930775	0.001751331	0.00575167	0.002984582	0.00036353	0.00127761	0.001750317	0.004566737	0.001441782	0.002524154
Anaerolineae	0.002277301	1.95321E-05	0.000234944	0.001463953	0.001431622	0.003172452	0.006927319	0.000885504	0.001372755	0.00118283	0.000246262	0.001732062	0.001372108	0.002467883	0.000314872	0.001549308
Archaea	1.32401E-05	0	0	0	0	0	0	0	0	0	0	0.000574496	0	0	0	0
Ardenticatena	1.32401E-05	0	0	4.28057E-06	0	0	0	0	0	0.000158169	1.17268E-05	0	0	0	0	0
Arthrobacter	0.010287575	0.006959953	0.011960311	0.003595675	0.007181581	0.023346783	0.022723747	0.007969539	0.003718603	0.037664874	0.00318968	0.009697832	0.00023748	0.003609567	0.043518611	0.013125598
Bacillales	0.00104597	0.000598986	0.000202161	9.41724E-05	0.000375508	0.000462008	6.41914E-05	0	0.000616871	0.000488261	0	0	1.17274E-05	0.001591439	0	0
Bacillus	0.0065009	0.008385799	0.0018577	0.005962828	0.006876481	0.007710393	0.023087498	0.01285949	0.003675161	0.011759528	0.001418939	0.003927151	0.00056878	0.00778421	0.005767127	0.008355819
