X16S_seq_number	Kingdom	Phylum	Class	Order	Family	Genus	Species
merged_16S_6859	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abitibacteriaceae	Abditibacterium	
merged_16S_4542	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Cand Phytoplasma	
merged_16S_173	Bacteria	Proteobacteria	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Sulfuricaulis	
merged_16S_157	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	
merged_16S_5304	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Desertimonas	
merged_16S_91	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales	Acidimicrobiales	
merged_16S_31	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobiaceae	
merged_16S_192	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiia	Acidimicrobiia	Acidimicrobiia	
merged_16S_6383	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	
merged_16S_12	Bacteria	Acidobacteria	Acidobacteria	Acidobacteria	Acidobacteria	Acidobacteria	
merged_16S_19	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacteriaceae	
merged_16S_1215	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriia	Acidobacteriia	Acidobacteriia	
merged_16S_108	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	
merged_16S_54	Bacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	Actinobacteria	
merged_16S_1241	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales	Actinomycetales	
merged_16S_1452	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomycetaceae	
merged_16S_4322	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonadaceae	
merged_16S_53	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria	Alphaproteobacteria	
merged_16S_19122	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	
merged_16S_13615	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	
merged_16S_450	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	
merged_16S_486	Bacteria	Chloroflexi	Anaerolineae	Anaerolineae	Anaerolineae	Anaerolineae	
merged_16S_90	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae	
merged_16S_1048	Bacteria	Aquificae	Aquificae	Aquificae	Aquificae	Aquificae	
merged_16S_1283	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Persephonella	
merged_16S_7993	Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter	
merged_16S_402	Bacteria	Aquificae	Aquificae	Aquificales	Aquificales	Aquificales	
merged_16S_30	Archaea	Archaea	Archaea	Archaea	Archaea	Archaea	
merged_16S_1858	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Geoglobus	
merged_16S_270	Bacteria	Chloroflexi	Ardenticatenia	Ardenticatenales	Ardenticatenaceae	Ardenticatena	
merged_16S_3115	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	Armatimonadaceae	Armatimonas	
merged_16S_9430	Bacteria	Armatimonadetes	Armatimonadia	Armatimonadia	Armatimonadia	Armatimonadia	
merged_16S_1826	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomyces	
merged_16S_118	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
merged_16S_1	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Sporolactobacillus	
